Product,Region,Salesperson,Units Sold,Unit Price,Total Revenue
Pro Laptop,West,Johnson,2,1145.26,2290.52
Ultra Widget,West,Williams,11,48.97,538.67
Pro Laptop,South,Smith,4,1158.7,4634.8
Smart Fan,South,Wilson,28,32.06,897.68
Smart Fan,West,Miller,46,61.56,2831.76
Pro Laptop,South,Brown,2,915.49,1830.98
Ultra Widget,West,Davis,41,79.39,3254.99
Basic Cable,South,Jones,175,11.07,1937.25
Eco Bulb,East,Smith,10,36.94,369.4
Smart Fan,North,Davis,15,88.79,1331.85
Pro Laptop,West,Davis,4,858.39,3433.56
Ultra Widget,East,Wilson,36,80.57,2900.52
Pro Laptop,South,Davis,5,1191.91,5959.55
Smart Fan,East,Johnson,10,107.45,1074.5
Basic Cable,North,Williams,142,11.01,1563.42
Smart Fan,North,Miller,46,148.5,6831.0
Eco Bulb,West,Brown,29,96.35,2794.15
Pro Laptop,South,Smith,4,1081.72,4326.88
Ultra Widget,South,Miller,19,49.23,935.37
Basic Cable,East,Johnson,61,7.75,472.75
Pro Laptop,South,Smith,1,1063.35,1063.35
Smart Fan,North,Davis,40,70.61,2824.4
Basic Cable,South,Davis,135,12.24,1652.4
Basic Cable,West,Jones,50,6.59,329.5
Pro Laptop,South,Wilson,4,992.49,3969.96
Pro Laptop,South,Davis,1,1121.39,1121.39
Ultra Widget,South,Johnson,50,118.57,5928.5
Smart Fan,South,Williams,42,71.48,3002.16
Ultra Widget,South,Wilson,36,137.36,4944.96
Eco Bulb,East,Brown,37,84.96,3143.52
Pro Laptop,East,Davis,4,830.08,3320.32
Smart Fan,North,Smith,19,62.85,1194.15
Pro Laptop,South,Johnson,4,1100.9,4403.6
Smart Fan,West,Miller,18,93.3,1679.4
Pro Laptop,South,Smith,1,863.31,863.31
Pro Laptop,West,Williams,2,883.81,1767.62
Ultra Widget,South,Brown,44,136.34,5998.96
Pro Laptop,North,Williams,30,1025.62,30768.6
Basic Cable,East,Johnson,69,8.75,603.75
Eco Bulb,West,Smith,50,123.4,6170.0
Smart Fan,North,Wilson,17,116.47,1979.99
Basic Cable,South,Miller,200,6.26,1252.0
Basic Cable,East,Miller,149,12.62,1880.38
Ultra Widget,North,Wilson,45,144.73,6512.85
Eco Bulb,South,Jones,46,110.76,5094.96
Eco Bulb,South,Smith,12,52.02,624.24
Eco Bulb,South,Wilson,34,100.32,3410.88
Smart Fan,North,Smith,31,84.45,2617.95
Basic Cable,East,Brown,155,7.74,1199.7
Eco Bulb,North,Smith,38,56.6,2150.8
Pro Laptop,East,Wilson,4,939.98,3759.92
Ultra Widget,South,Davis,35,77.15,2700.25
Eco Bulb,South,Wilson,29,142.0,4118.0
Eco Bulb,South,Johnson,15,49.8,747.0
Ultra Widget,East,Brown,33,34.73,1146.09
Ultra Widget,West,Wilson,47,97.53,4583.91
Eco Bulb,West,Williams,20,39.41,788.2
Eco Bulb,South,Brown,10,145.36,1453.6
Smart Fan,East,Williams,11,79.06,869.66
Smart Fan,West,Miller,30,44.07,1322.1
Smart Fan,East,Wilson,27,139.58,3768.66
Smart Fan,East,Johnson,47,127.7,6001.9
Pro Laptop,North,Miller,5,1088.57,5442.85
Pro Laptop,East,Smith,2,1032.39,2064.78
Ultra Widget,West,Wilson,23,113.2,2603.6
Basic Cable,South,Wilson,196,14.52,2845.92
Eco Bulb,East,Brown,25,118.79,2969.75
Eco Bulb,West,Wilson,44,51.69,2274.36
Eco Bulb,North,Johnson,15,30.64,459.6
Pro Laptop,South,Smith,5,1008.26,5041.3
Basic Cable,West,Johnson,69,8.92,615.48
Pro Laptop,East,Williams,5,840.79,4203.95
Eco Bulb,West,Williams,19,127.28,2418.32
Ultra Widget,East,Davis,44,106.9,4703.6
Smart Fan,North,Jones,29,111.06,3220.74
Pro Laptop,North,Wilson,2,1137.02,2274.04
Pro Laptop,North,Davis,1,1007.4,1007.4
Pro Laptop,South,Miller,2,958.87,1917.74
Smart Fan,West,Jones,49,138.46,6784.54
Pro Laptop,West,Williams,1,933.52,933.52
Basic Cable,East,Davis,84,10.78,905.52
Basic Cable,North,Johnson,170,5.12,870.4
Ultra Widget,West,Jones,10,95.11,951.1
Ultra Widget,East,Davis,29,95.88,2780.52
Eco Bulb,North,Miller,15,87.32,1309.8
Smart Fan,North,Jones,45,39.7,1786.5
Eco Bulb,North,Johnson,37,85.46,3162.02
Smart Fan,North,Johnson,38,102.8,3906.4
Basic Cable,South,Williams,144,8.52,1226.88
Smart Fan,North,Wilson,11,54.45,598.95
Pro Laptop,East,Brown,2,871.13,1742.26
Eco Bulb,South,Wilson,30,127.52,3825.6
Ultra Widget,East,Brown,45,22.5,1012.5
Ultra Widget,West,Jones,26,24.99,649.74
Smart Fan,North,Johnson,43,83.34,3583.62
Ultra Widget,North,Brown,13,134.7,1751.1
Basic Cable,South,Davis,167,11.53,1925.51
Eco Bulb,East,Wilson,24,31.73,761.52
Basic Cable,South,Brown,133,5.56,739.48
Ultra Widget,East,Johnson,21,145.28,3050.88
Eco Bulb,East,Smith,15,149.5,2242.5
Basic Cable,East,Miller,112,5.68,636.16
Ultra Widget,South,Miller,39,86.74,3382.86
Basic Cable,West,Miller,119,5.54,659.26
Basic Cable,East,Davis,168,10.3,1730.4
Basic Cable,North,Smith,61,12.35,753.35
Basic Cable,North,Davis,172,8.68,1492.96
Basic Cable,West,Davis,115,13.09,1505.35
Ultra Widget,East,Jones,45,149.95,6747.75
Pro Laptop,North,Williams,5,849.77,4248.85
Eco Bulb,South,Jones,23,59.76,1374.48
Ultra Widget,East,Brown,19,99.39,1888.41
Eco Bulb,East,Davis,37,51.24,1895.88
Smart Fan,South,Williams,34,132.56,4507.04
Eco Bulb,East,Brown,47,35.61,1673.67
Pro Laptop,North,Davis,2,976.1,1952.2
Eco Bulb,North,Davis,15,42.52,637.8
Eco Bulb,South,Jones,37,28.36,1049.32
Smart Fan,North,Jones,44,125.41,5518.04
Smart Fan,South,Davis,35,83.04,2906.4
Eco Bulb,West,Davis,43,102.43,4404.49
Smart Fan,West,Davis,49,37.92,1858.08
Ultra Widget,West,Brown,41,46.92,1923.72
Smart Fan,South,Davis,24,136.42,3274.08
Smart Fan,North,Wilson,12,48.72,584.64
Eco Bulb,South,Miller,28,122.87,3440.36
Basic Cable,West,Brown,61,10.32,629.52
Smart Fan,North,Smith,19,47.7,906.3
Eco Bulb,East,Miller,15,129.09,1936.35
Eco Bulb,West,Wilson,40,75.32,3012.8
Smart Fan,North,Smith,34,31.37,1066.58
Smart Fan,West,Miller,28,116.05,3249.4
Ultra Widget,South,Johnson,49,126.01,6174.49
Smart Fan,South,Jones,24,119.55,2869.2
Eco Bulb,East,Jones,23,139.8,3215.4
Eco Bulb,East,Williams,34,140.76,4785.84
Ultra Widget,West,Jones,26,56.62,1472.12
Eco Bulb,East,Miller,200,100.29,20058.0
Smart Fan,North,Johnson,33,43.78,1444.74
Eco Bulb,West,Jones,30,104.89,3146.7
Ultra Widget,West,Smith,27,50.77,1370.79
Ultra Widget,South,Williams,24,61.09,1466.16
Ultra Widget,West,Johnson,41,122.94,5040.54
Eco Bulb,South,Brown,26,43.98,1143.48
Basic Cable,South,Johnson,103,7.05,726.15
Smart Fan,North,Brown,29,78.88,2287.52
Pro Laptop,South,Wilson,4,1163.89,4655.56
Smart Fan,East,Johnson,37,63.29,2341.73
Smart Fan,West,Miller,24,101.7,2440.8
Ultra Widget,South,Davis,26,22.53,585.78
Eco Bulb,East,Miller,19,78.67,1494.73
Basic Cable,South,Davis,86,12.44,1069.84
Eco Bulb,South,Smith,32,117.94,3774.08
Eco Bulb,South,Brown,40,77.02,3080.8
Eco Bulb,West,Davis,17,38.29,650.93
Pro Laptop,South,Smith,2,908.92,1817.84
Smart Fan,South,Williams,37,115.08,4257.96
Basic Cable,South,Brown,68,10.01,680.68
Smart Fan,East,Miller,18,117.28,2111.04
Smart Fan,South,Jones,24,100.77,2418.48
Basic Cable,East,Jones,80,13.81,1104.8
Basic Cable,North,Davis,129,11.57,1492.53
Ultra Widget,West,Smith,14,135.55,1897.7
Pro Laptop,East,Brown,3,895.36,2686.08
Ultra Widget,West,Davis,22,125.32,2757.04
Pro Laptop,North,Brown,1,854.58,854.58
Eco Bulb,West,Williams,14,71.33,998.62
Pro Laptop,South,Davis,1,894.03,894.03
Ultra Widget,North,Williams,14,101.95,1427.3
Ultra Widget,North,Williams,13,32.27,419.51
Ultra Widget,West,Williams,33,48.06,1585.98
Eco Bulb,East,Davis,19,51.34,975.46
Ultra Widget,South,Williams,32,122.38,3916.16
Smart Fan,North,Miller,50,104.66,5233.0
Smart Fan,West,Williams,22,79.84,1756.48
Basic Cable,East,Wilson,73,5.54,404.42
Basic Cable,East,Davis,96,12.82,1230.72
Pro Laptop,East,Smith,5,904.99,4524.95
Ultra Widget,West,Wilson,13,146.41,1903.33
Eco Bulb,East,Miller,44,142.42,6266.48
Ultra Widget,North,Smith,19,132.18,2511.42
Basic Cable,West,Davis,133,13.59,1807.47
Basic Cable,North,Wilson,196,8.15,1597.4
Pro Laptop,North,Davis,4,920.58,3682.32
Ultra Widget,East,Williams,24,147.63,3543.12
Pro Laptop,North,Johnson,2,824.46,1648.92
Pro Laptop,North,Miller,3,1121.99,3365.97
Eco Bulb,East,Johnson,37,91.47,3384.39
Eco Bulb,South,Williams,42,77.23,3243.66
Ultra Widget,West,Smith,14,75.01,1050.14
Eco Bulb,South,Smith,44,146.75,6457.0
Eco Bulb,West,Brown,38,142.69,5422.22
Smart Fan,South,Johnson,36,27.77,999.72
Basic Cable,South,Jones,198,8.58,1698.84
Eco Bulb,East,Jones,21,42.97,902.37
Eco Bulb,North,Davis,47,89.2,4192.4
Smart Fan,South,Jones,46,50.57,2326.22
Ultra Widget,East,Smith,41,124.24,5093.84
Pro Laptop,East,Williams,2,892.6,1785.2
Pro Laptop,South,Johnson,5,1163.23,5816.15
Ultra Widget,South,Williams,49,103.78,5085.22
Eco Bulb,North,Johnson,30,63.09,1892.7
Smart Fan,West,Brown,14,51.54,721.56
Ultra Widget,West,Davis,40,87.8,3512.0
Ultra Widget,North,Davis,38,105.46,4007.48
Ultra Widget,West,Jones,33,21.98,725.34
Smart Fan,South,Jones,32,72.4,2316.8
Pro Laptop,East,Smith,3,947.74,2843.22
Ultra Widget,North,Jones,14,70.25,983.5
Basic Cable,East,Brown,160,7.91,1265.6
Eco Bulb,East,Brown,46,22.29,1025.34
Pro Laptop,West,Smith,5,1111.54,5557.7
Smart Fan,South,Williams,18,91.14,1640.52
Smart Fan,East,Jones,12,41.15,493.8
Basic Cable,East,Johnson,98,11.1,1087.8
Ultra Widget,South,Jones,49,78.86,3864.14
Pro Laptop,West,Williams,2,912.4,1824.8
Ultra Widget,South,Smith,31,39.11,1212.41
Ultra Widget,West,Johnson,49,64.46,3158.54
Eco Bulb,West,Jones,33,31.71,1046.43
Basic Cable,South,Brown,141,5.43,765.63
Smart Fan,West,Smith,26,22.81,593.06
Eco Bulb,East,Miller,45,140.22,6309.9
Eco Bulb,North,Wilson,42,113.67,4774.14
Smart Fan,North,Brown,36,86.64,3119.04
Eco Bulb,West,Wilson,10,121.96,1219.6
Pro Laptop,North,Brown,4,926.03,3704.12
Smart Fan,South,Jones,26,42.11,1094.86
Smart Fan,North,Jones,34,82.56,2807.04
Smart Fan,East,Brown,43,140.23,6029.89
Basic Cable,West,Jones,197,12.33,2429.01
Basic Cable,West,Davis,142,7.06,1002.52
Basic Cable,West,Jones,117,13.33,1559.61
Smart Fan,West,Wilson,20,138.41,2768.2
Eco Bulb,North,Jones,38,127.04,4827.52
Eco Bulb,South,Smith,25,103.24,2581.0
Smart Fan,East,Jones,48,41.4,1987.2
Basic Cable,West,Jones,1440,10.32,14860.8
Smart Fan,West,Williams,19,27.79,528.01
Smart Fan,North,Smith,46,122.28,5624.88
Smart Fan,East,Smith,43,137.15,5897.45
Basic Cable,East,Davis,140,8.3,1162.0
Pro Laptop,West,Wilson,2,871.7,1743.4
Eco Bulb,South,Smith,50,118.03,5901.5
Smart Fan,South,Brown,49,36.29,1778.21
Smart Fan,West,Johnson,38,97.6,3708.8
Eco Bulb,North,Davis,28,147.09,4118.52
Pro Laptop,West,Wilson,1,1155.2,1155.2
Pro Laptop,East,Miller,1,1150.07,1150.07
Ultra Widget,South,Brown,36,72.79,2620.44
Eco Bulb,East,Johnson,38,128.16,4870.08
Smart Fan,West,Williams,11,111.55,1227.05
Ultra Widget,West,Wilson,28,39.5,1106.0
Eco Bulb,South,Wilson,34,26.15,889.1
Smart Fan,East,Johnson,20,122.48,2449.6
Ultra Widget,North,Wilson,25,77.07,1926.75
Basic Cable,West,Brown,166,5.14,853.24
Ultra Widget,South,Wilson,20,30.23,604.6
Ultra Widget,South,Johnson,16,42.77,684.32
Ultra Widget,North,Wilson,31,75.94,2354.14
Basic Cable,West,Williams,144,5.77,830.88
Ultra Widget,East,Miller,34,94.78,3222.52
Pro Laptop,North,Smith,2,1074.24,2148.48
Ultra Widget,West,Miller,37,34.88,1290.56
Ultra Widget,North,Jones,20,147.41,2948.2
Ultra Widget,North,Jones,31,43.74,1355.94
Eco Bulb,West,Smith,19,47.47,901.93
Smart Fan,East,Wilson,43,94.8,4076.4
Smart Fan,North,Smith,50,66.05,3302.5
Eco Bulb,South,Jones,25,80.21,2005.25
Smart Fan,South,Williams,40,73.2,2928.0
Basic Cable,East,Wilson,166,11.49,1907.34
Pro Laptop,North,Jones,5,1104.46,5522.3
Eco Bulb,West,Smith,32,60.99,1951.68
Pro Laptop,West,Davis,2,805.21,1610.42
Smart Fan,East,Smith,15,91.25,1368.75
Basic Cable,North,Davis,155,7.43,1151.65
Smart Fan,North,Miller,46,54.88,2524.48
Basic Cable,South,Johnson,178,5.25,934.5
Smart Fan,North,Wilson,16,43.91,702.56
Smart Fan,North,Jones,15,66.19,992.85
Smart Fan,North,Brown,17,43.31,736.27
Basic Cable,North,Jones,149,13.21,1968.29
Smart Fan,South,Smith,31,145.12,4498.72
Ultra Widget,North,Miller,13,23.16,301.08
Pro Laptop,South,Smith,1,854.08,854.08
Pro Laptop,West,Miller,1,898.86,898.86
Pro Laptop,East,Smith,1,1023.57,1023.57
Basic Cable,East,Smith,80,6.97,557.6
Ultra Widget,South,Miller,32,68.15,2180.8
Ultra Widget,West,Wilson,19,66.22,1258.18
Pro Laptop,North,Davis,1,999.43,999.43
Pro Laptop,South,Jones,5,926.18,4630.9
Basic Cable,West,Miller,67,11.16,747.72
Ultra Widget,West,Miller,21,143.44,3012.24
Ultra Widget,East,Wilson,39,67.1,2616.9
Smart Fan,East,Jones,16,37.66,602.56
Ultra Widget,West,Wilson,37,110.84,4101.08
Basic Cable,South,Miller,178,6.12,1089.36
Ultra Widget,West,Jones,10,42.17,421.7
Smart Fan,South,Williams,21,31.22,655.62
Basic Cable,South,Davis,118,5.43,640.74
Basic Cable,West,Brown,74,14.26,1055.24
Pro Laptop,North,Smith,1,903.88,903.88
Basic Cable,South,Jones,142,11.63,1651.46
Pro Laptop,West,Johnson,5,838.11,4190.55
Basic Cable,East,Brown,105,14.26,1497.3
Basic Cable,West,Williams,70,5.88,411.6
Eco Bulb,West,Wilson,38,43.24,1643.12
Basic Cable,South,Wilson,81,13.2,1069.2
Pro Laptop,South,Williams,3,902.23,2706.69
Smart Fan,North,Davis,15,134.79,2021.85
Smart Fan,East,Jones,31,123.3,3822.3
Basic Cable,North,Williams,58,7.87,456.46
Ultra Widget,South,Jones,48,149.87,7193.76
Eco Bulb,East,Smith,39,57.43,2239.77
Eco Bulb,West,Davis,19,58.55,1112.45
Basic Cable,North,Smith,54,7.82,422.28
Basic Cable,South,Wilson,183,9.44,1727.52
Pro Laptop,North,Wilson,2,1023.93,2047.86
Pro Laptop,East,Jones,4,1129.53,4518.12
Pro Laptop,East,Williams,4,1146.1,4584.4
Pro Laptop,East,Johnson,1,1028.86,1028.86
Ultra Widget,North,Miller,27,20.03,540.81
Eco Bulb,North,Johnson,23,115.7,2661.1
Smart Fan,West,Brown,17,141.45,2404.65
Pro Laptop,North,Johnson,5,1104.49,5522.45
Eco Bulb,East,Wilson,34,66.58,2263.72
Smart Fan,East,Brown,14,68.74,962.36
Smart Fan,East,Williams,47,83.92,3944.24
Ultra Widget,North,Jones,16,135.3,2164.8
Eco Bulb,North,Williams,13,119.47,1553.11
Pro Laptop,North,Davis,5,1087.76,5438.8
Smart Fan,South,Williams,33,137.23,4528.59
Ultra Widget,South,Smith,23,146.97,3380.31
Smart Fan,East,Miller,47,135.29,6358.63
Smart Fan,North,Brown,21,63.15,1326.15
Ultra Widget,West,Johnson,370,32.33,11962.1
Basic Cable,East,Davis,84,9.71,815.64
Ultra Widget,West,Miller,14,56.76,794.64
Basic Cable,South,Jones,124,7.51,931.24
Ultra Widget,West,Jones,10,116.22,1162.2
Basic Cable,North,Johnson,107,9.08,971.56
Ultra Widget,East,Davis,23,106.06,2439.38
Ultra Widget,West,Miller,41,57.54,2359.14
Smart Fan,East,Williams,48,97.52,4680.96
Pro Laptop,North,Wilson,3,1121.45,3364.35
Eco Bulb,East,Wilson,11,111.41,1225.51
Smart Fan,North,Smith,14,91.34,1278.76
Ultra Widget,North,Jones,32,90.52,2896.64
Smart Fan,South,Jones,37,72.46,2681.02
Pro Laptop,North,Johnson,4,1120.55,4482.2
Basic Cable,East,Brown,69,9.65,665.85
Smart Fan,North,Davis,47,30.94,1454.18
Eco Bulb,East,Wilson,32,127.25,4072.0
Ultra Widget,East,Smith,20,36.9,738.0
Ultra Widget,North,Miller,24,98.89,2373.36
Basic Cable,East,Miller,96,8.9,854.4
Basic Cable,South,Smith,62,10.59,656.58
Basic Cable,East,Davis,60,12.81,768.6
Eco Bulb,East,Brown,12,26.99,323.88
Smart Fan,South,Davis,50,48.58,2429.0
Basic Cable,West,Miller,88,6.23,548.24
Eco Bulb,South,Brown,41,70.12,2874.92
Smart Fan,West,Miller,37,74.98,2774.26
Smart Fan,North,Johnson,12,82.98,995.76
Pro Laptop,North,Jones,1,1031.14,1031.14
Eco Bulb,East,Smith,24,27.13,651.12
Pro Laptop,South,Wilson,5,1097.57,5487.85
Pro Laptop,South,Jones,4,867.86,3471.44
Basic Cable,East,Wilson,70,12.2,854.0
Ultra Widget,East,Davis,39,34.43,1342.77
Ultra Widget,West,Davis,29,113.9,3303.1
Ultra Widget,West,Miller,42,127.72,5364.24
Basic Cable,West,Brown,120,10.78,1293.6
Ultra Widget,West,Jones,42,89.12,3743.04
Basic Cable,North,Wilson,130,14.24,1851.2
Ultra Widget,North,Miller,20,86.34,1726.8
Pro Laptop,East,Brown,1,1092.18,1092.18
Smart Fan,South,Williams,30,50.22,1506.6
Smart Fan,North,Williams,30,28.06,841.8
Basic Cable,West,Johnson,136,13.97,1899.92
Eco Bulb,North,Johnson,44,54.55,2400.2
Smart Fan,North,Davis,40,27.11,1084.4
Ultra Widget,East,Davis,50,55.87,2793.5
Pro Laptop,North,Johnson,3,822.97,2468.91
Smart Fan,North,Williams,15,55.8,837.0
Pro Laptop,East,Miller,1,976.7,976.7
Pro Laptop,West,Jones,3,1005.08,3015.24
Eco Bulb,South,Brown,18,94.88,1707.84
Pro Laptop,West,Brown,4,1150.28,4601.12
Basic Cable,North,Brown,109,11.44,1246.96
Basic Cable,South,Jones,132,13.46,1776.72
Eco Bulb,North,Johnson,31,28.28,876.68
Ultra Widget,South,Smith,38,110.99,4217.62
Basic Cable,North,Miller,59,11.43,674.37
Basic Cable,West,Williams,74,7.46,552.04
Eco Bulb,East,Davis,24,128.11,3074.64
Basic Cable,East,Brown,72,7.98,574.56
Pro Laptop,North,Miller,3,1157.09,3471.27
Ultra Widget,East,Brown,23,46.82,1076.86
Pro Laptop,South,Wilson,1,1159.93,1159.93
Ultra Widget,East,Brown,49,44.8,2195.2
Pro Laptop,East,Davis,2,853.48,1706.96
Ultra Widget,North,Miller,40,106.25,4250.0
Basic Cable,South,Jones,108,11.66,1259.28
Eco Bulb,South,Williams,28,77.05,2157.4
Smart Fan,North,Wilson,19,137.29,2608.51
Pro Laptop,East,Johnson,5,912.22,4561.1
Basic Cable,West,Williams,122,13.93,1699.46
Smart Fan,South,Brown,40,134.04,5361.6
Pro Laptop,North,Smith,2,1079.73,2159.46
Ultra Widget,North,Williams,49,77.78,3811.22
Basic Cable,North,Brown,137,8.53,1168.61
Pro Laptop,North,Smith,5,1052.27,5261.35
Ultra Widget,North,Smith,29,55.55,1610.95
Basic Cable,West,Miller,124,10.79,1337.96
Eco Bulb,East,Miller,28,117.17,3280.76
Basic Cable,East,Brown,160,10.85,1736.0
Ultra Widget,East,Smith,17,129.97,2209.49
Basic Cable,South,Smith,180,5.28,950.4
Smart Fan,North,Williams,36,64.67,2328.12
Ultra Widget,West,Smith,43,129.87,5584.41
Eco Bulb,North,Miller,19,135.0,2565.0
Eco Bulb,North,Brown,32,70.04,2241.28
Eco Bulb,South,Brown,24,26.19,628.56
Pro Laptop,West,Wilson,5,844.82,4224.1
Smart Fan,South,Brown,38,132.53,5036.14
Ultra Widget,North,Brown,26,149.41,3884.66
Smart Fan,West,Jones,17,108.92,1851.64
Pro Laptop,South,Smith,1,836.31,836.31
Eco Bulb,North,Miller,35,89.85,3144.75
Ultra Widget,South,Smith,35,133.77,4681.95
Ultra Widget,East,Davis,10,133.88,1338.8
Ultra Widget,North,Brown,50,148.79,7439.5
Smart Fan,East,Wilson,34,21.04,715.36
Basic Cable,West,Johnson,163,5.95,969.85
Ultra Widget,West,Johnson,280,21.03,5888.4
